type,algorithm,level,predictor,decimals,max_z_error,nodata,vertical_srs,tile_size,cog,overviews,discard_lsb
dem,LZW,,3,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,LZW,,2,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,LZW,,3,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,LZW,,2,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,DEFLATE,6,3,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,DEFLATE,6,2,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,DEFLATE,6,3,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,DEFLATE,6,2,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,ZSTD,9,3,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,ZSTD,9,2,none,,NaN,NAVD88,512,TRUE,TRUE,
dem,ZSTD,9,3,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,ZSTD,9,2,2,,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC,,,,0,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC,,,,0.0001,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC,,,,0.001,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC,,,,0.01,NaN,NAVD88,512,TRUE,TRUE,
dem,DEFLATE,6,2,2,,NaN,NAVD88,512,TRUE,TRUE,TRUE
dem,DEFLATE,6,3,2,,NaN,NAVD88,512,TRUE,TRUE,TRUE
dem,ZSTD,9,2,2,,NaN,NAVD88,512,TRUE,TRUE,TRUE
dem,ZSTD,9,3,2,,NaN,NAVD88,512,TRUE,TRUE,TRUE
dem,LERC_DEFLATE,6,,,0.01,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC_DEFLATE,6,,,0.001,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC_ZSTD,9,,,0.01,NaN,NAVD88,512,TRUE,TRUE,
dem,LERC_ZSTD,9,,,0.001,NaN,NAVD88,512,TRUE,TRUE,
