type,algorithm,level,predictor,decimals,max_z_error,tile_size,cog,overviews
scientific,DEFLATE,6,1,3,,512,True,True
scientific,DEFLATE,9,1,3,,512,True,True
scientific,DEFLATE,12,1,3,,512,True,True
scientific,DEFLATE,6,2,3,,512,True,True
scientific,DEFLATE,9,2,3,,512,True,True
scientific,DEFLATE,12,2,3,,512,True,True
scientific,DEFLATE,6,3,8,,512,True,True
scientific,DEFLATE,9,3,8,,512,True,True
scientific,DEFLATE,12,3,8,,512,True,True
scientific,ZSTD,6,1,8,,512,True,True
scientific,ZSTD,9,1,8,,512,True,True
scientific,ZSTD,6,2,3,,512,True,True
scientific,ZSTD,9,2,3,,512,True,True
scientific,ZSTD,6,3,8,,512,True,True
scientific,ZSTD,9,3,8,,512,True,True
scientific,LZW,,1,8,,512,True,True
scientific,LZW,,1,3,,512,True,True
scientific,LZW,,2,8,,512,True,True
scientific,LZW,,2,3,,512,True,True
scientific,LZW,,3,8,,512,True,True
scientific,LZW,,3,3,,512,True,True
scientific,LERC,,,,0,512,True,True
scientific,LERC,,,,0.1,512,True,True
scientific,LERC,,,,0.01,512,True,True
scientific,LERC,,,,0.001,512,True,True
scientific,LERC,,,,0.0001,512,True,True
